level,intensity,snnr mean,snnr std,sr mean,sr std
1,5,3.087117775,9.965150653,0.563603005,0.9343055
1,8,7.897925705,26.35891424,1.291845597,2.499697438
1,12,8.421250431,35.29735562,1.726375859,2.87785463
2,5,8.421250431,35.29735562,1.726375859,2.87785463
2,8,3.024679957,9.51432201,0.551776428,0.917275949
2,12,8.080310203,25.87335798,1.244585108,2.464763434
3,5,8.080310203,25.87335798,1.244585108,2.464763434
3,8,8.714449586,35.01716715,1.621231378,2.847170665
3,12,2.983677562,9.193081693,0.538669961,0.904490859
4,5,2.983677562,9.193081693,0.538669961,0.904490859
4,8,6.109356909,20.17165379,1.003602391,1.976769561
4,12,10.33127057,30.19316822,1.556896456,2.824886277
5,5,10.33127057,30.19316822,1.556896456,2.824886277
5,8,2.839945816,8.723549018,0.512931443,0.873591227
5,12,4.350509702,12.48493844,0.783278643,1.168754747
6,5,4.350509702,12.48493844,0.783278643,1.168754747
6,8,10.31234931,29.59612201,1.487445917,2.80448445
6,12,2.815832728,8.563551983,0.507761743,0.865158762
7,5,2.815832728,8.563551983,0.507761743,0.865158762
7,8,4.059577177,11.36481574,0.740107424,1.071288903
7,12,8.606010537,25.3325194,1.271977708,2.444947721
8,5,8.606010537,25.3325194,1.271977708,2.444947721
8,8,2.799059443,8.490220313,0.504825976,0.860633547
8,12,3.882752564,10.89822632,0.7155266,1.027803011
9,5,3.882752564,10.89822632,0.7155266,1.027803011
9,8,6.584676979,20.02277277,1.056615725,1.858908689
9,12,2.764818138,8.426282452,0.499927725,0.854679358
