level,intensity,snnr,snnr_std,sr,sr_std,sdi,sdi_std
1,3,2.132872417,7.119336123,0.344403618,0.769777795,12.27598123,8.754598402
2,3,2.116978089,7.015353543,0.34431639,0.767618882,12.5174265,9.163558122
3,3,2.118222212,6.97437712,0.343935571,0.766765806,12.55258901,9.196908505
4,3,2.113298925,6.954372095,0.343209659,0.765584741,12.587674,9.243094157
5,3,2.108202864,6.941411545,0.342751768,0.764946703,12.64504165,9.264626893
6,3,2.109674573,6.938850757,0.342767352,0.765009257,12.59639759,9.270206211
7,3,2.10767325,6.936064666,0.342565685,0.764820952,12.58836401,9.275901159
8,3,2.10618819,6.934832871,0.342422567,0.764738652,12.5912851,9.278313182
9,3,2.106033114,6.933375735,0.342288844,0.764722915,12.59280132,9.278651936
1,5,2.953822979,9.777912485,0.546331517,0.915836039,11.64613961,7.444882231
2,5,2.88885153,9.361628609,0.534785547,0.900034202,12.59703153,8.330418905
3,5,2.909149989,9.135274823,0.530030872,0.891162433,13.00556717,8.226715428
4,5,2.892435578,8.955013901,0.524185245,0.879947788,13.17953025,8.298517248
5,5,2.876517574,8.826792901,0.520812981,0.871860086,13.38127402,8.292478905
6,5,2.844053431,8.765419003,0.517255243,0.867476506,13.24273951,8.36192279
7,5,2.838904276,8.755769987,0.516820422,0.866880927,13.28864374,8.363083719
8,5,2.833690073,8.748407316,0.51633383,0.866758268,13.31148201,8.363939548
9,5,2.835586905,8.747115446,0.516236297,0.866715383,13.30765385,8.363138395
1,7,3.985444333,13.70298648,0.80436998,1.168762204,9.799336913,6.802677896
2,7,3.977272601,12.98233687,0.767298686,1.16063966,11.55179825,7.859459528
3,7,3.965600907,12.19913596,0.741154265,1.121617937,12.39053029,7.577620727
4,7,3.900317849,11.52676915,0.718949317,1.069161585,12.67344612,7.501983372
5,7,3.837982528,10.96526015,0.702861397,1.028766171,13.05695982,7.376421237
6,7,3.650701677,10.60019036,0.683313631,0.993564184,12.88721589,7.537637319
7,7,3.634606665,10.56164231,0.681291624,0.990702886,12.95126987,7.515048093
8,7,3.610360671,10.51791736,0.67876875,0.988817799,12.99170368,7.507031657
9,7,3.624230816,10.52959352,0.679730681,0.989722221,12.99169778,7.508685893
