wavelet name,filter length,time
db1,2,0.013215068
db2,4,0.026147269
db3,6,0.041547131
db4,8,0.057451524
db5,10,0.07025773
db6,12,0.082917369
db7,14,0.096916612
db8,16,0.109168139
db9,18,0.122409811
db10,20,0.133904261
db11,22,0.148328094
db12,2.40E+01,0.159767987
db13,26,0.173574481
db14,28,0.187307206
db15,30,0.201493053
db16,32,0.214574791
db17,34,0.22613616
db18,36,0.239149023
db19,38,0.2527019
db20,40,0.264845874
sym2,4,0.026186253
sym3,6,0.041834309
sym4,8,0.058174265
sym5,10,0.071179032
sym6,12,0.083387833
sym7,14,0.096548811
sym8,16,0.108934304
sym9,18,0.12168766
sym10,20,0.135002064
sym11,22,0.147369669
sym12,24,0.16180672
sym13,26,0.17282074
sym14,28,0.185859582
sym15,30,0.19982694
sym16,32,0.212623113
sym17,34,0.227275767
sym18,36,0.238202427
sym19,38,0.253181888
sym20,40,0.267671214
coif1,6,0.041246486
coif2,12,0.084605485
coif3,18,0.121815639
coif4,24,0.159660958
coif5,30,0.199260119
